Air Terminal Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly Code,Assembly Description,Assembly Name,Classification Number,Classification Title,Comments,Cost,Count,Critical Path,Description,Elevation from Level,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Family,Family and Type,Flow,IFC Predefined Type,IfcGUID,Image,Keynote,Level,Manufacturer,Mark,Max Flow,Min Flow,Model,Phase Created,Phase Demolished,Size,System Abbreviation,System Classification,System Name,System Type,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,URL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,No,,8' - 3",,,,By Type,,Default,,Air Terminal-Exhaust Cap-FB,Air Terminal-Exhaust Cap-FB: 4" DIA,0 CFM,,0uItpyAgXCovb3y_iwf_F$,,,L2,,1,,,,New Construction,None,4"ø,,Exhaust Air,Mechanical Exhaust Air 36,Exhaust Air,4" DIA,,,0uItpyAgXCovb3y_iwf_Qg,,,
,,,23.75.70.21.27.11,,,,1,Yes,,8' - 0",,,,By Type,,Default,,Supply Diffuser with Plenum - Linear Slot - Hosted,Supply Diffuser with Plenum - Linear Slot - Hosted: 48x4 1/4-8 In Inlet 2-Slot,100 CFM,,0B82sWVf587AtmxOGOUsde,,,L2,,3,,,,New Construction,None,6"ø,,Supply Air,Mechanical Supply Air 1,Supply Air,48x4 1/4-8 In Inlet 2-Slot,,,0B82sWVf587AtmxOGOUsXJ,,,
,,,23.75.70.21.27.11,,,,1,No,,8' - 0",,,,By Type,,Default,,Supply Diffuser - Square - Hosted,Supply Diffuser - Square - Hosted: 12" x 12",100 CFM,,0B82sWVf587AtmxOGOUsr0,,,L2,,4,,,,New Construction,None,6"x6",,Supply Air,Mechanical Supply Air 1,Supply Air,12" x 12",,,0B82sWVf587AtmxOGOUsqV,,,
,,,,,,,1,No,,8' - 0",,,,By Type,,Default,,Air Terminal-Exhaust Cap-FB,Air Terminal-Exhaust Cap-FB: 4" DIA,0 CFM,,0d1xlIsmn0D9DcDwK83n0b,,,L2,,10,,,,New Construction,None,4"ø,,Exhaust Air,Mechanical Exhaust Air 35,Exhaust Air,4" DIA,,,0uItpyAgXCovb3y_iwf_Qg,,,
,,,23.75.70.21.27.11,,,,1,Yes,,8' - 0",,,,By Type,,Default,,Supply Diffuser - Square - Hosted,Supply Diffuser - Square - Hosted: 12" x 12",100 CFM,,0d1xlIsmn0D9DcDwK83nR9,,,L2,,11,,,,New Construction,None,6"x6",,Supply Air,Mechanical Supply Air 2,Supply Air,12" x 12",,,0B82sWVf587AtmxOGOUsqV,,,
,,,,,,,1,Yes,,1' - 4",,,,By Type,,Default,,Return Grille - Perforated - Rectangular Face Rectangular Neck,Return Grille - Perforated - Rectangular Face Rectangular Neck: 16x10,700 CFM,,0d1xlIsmn0D9DcDwK83nrR,,,L2,,13,,,,New Construction,None,16"x10",,Return Air,Mechanical Return Air 1,Return Air,16x10,,,0d1xlIsmn0D9DcDwK83ntx,,,
,,,,,,,1,Yes,,1' - 4",,,,By Type,,Default,,Return Grille - Perforated - Rectangular Face Rectangular Neck,Return Grille - Perforated - Rectangular Face Rectangular Neck: 16x10,700 CFM,,0d1xlIsmn0D9DcDwK83nol,,,L2,,14,,,,New Construction,None,16"x10",,Return Air,Mechanical Return Air 3,Return Air,16x10,,,0d1xlIsmn0D9DcDwK83ntx,,,
,,,,,,,1,No,,9' - 6",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,0d1xlIsmn0D9DcDwK83sRP,,,L2,,15,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 2,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,9' - 6",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,0d1xlIsmn0D9DcDwK83sOo,,,L2,,17,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 2,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
