Data Device Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly Code,Assembly Description,Assembly Name,Circuit Number,Classification Number,Classification Title,Comments,Cost,Count,Description,Electrical Data,Elevation from Level,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Family,Family and Type,IFC Predefined Type,IfcGUID,Image,Keynote,Level,Manufacturer,Mark,Model,Panel,Phase Created,Phase Demolished,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,URL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,0xAf3vh1zBTg991o7CXZk9,,,L5,,1,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,0xAf3vh1zBTg991o7CXZlV,,,L5,,2,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,0xAf3vh1zBTg991o7CXZY3,,,L5,,3,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,0xAf3vh1zBTg991o7CXi21,,,L5,,4,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,0xAf3vh1zBTg991o7CXi3b,,,L5,,5,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,0xAf3vh1zBTg991o7CXi1L,,,L5,,6,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,2Up1U7k117ie2$BGfzSmt2,,,L4,,8,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,2Up1U7k117ie2$BGfzSmt3,,,L4,,9,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,2Up1U7k117ie2$BGfzSmtE,,,L4,,10,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,2Up1U7k117ie2$BGfzSmso,,,L3,,11,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,2Up1U7k117ie2$BGfzSmsp,,,L3,,12,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,2Up1U7k117ie2$BGfzSms_,,,L3,,13,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,2Up1U7k117ie2$BGfzSmuj,,,L2,,14,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,2Up1U7k117ie2$BGfzSmuk,,,L2,,15,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,2Up1U7k117ie2$BGfzSmuf,,,L2,,16,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,3P1nks4s5DXwXxZ1uEl_uz,,,L2,,17,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,3P1nks4s5DXwXxZ1uEl_uV,,,L2,,18,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,3P1nks4s5DXwXxZ1uEl_6p,,,L2,,19,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,3P1nks4s5DXwXxZ1uEl_7h,,,L2,,20,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,1GdK8hVbL8z8XKrKL5bEAj,,,L2,,21,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,1GdK8hVbL8z8XKrKL5bE9O,,,L2,,22,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,2lMJC2lKP428HGIz2Uwum7,,,L1 - Block 43,,23,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,2lMJC2lKP428HGIz2Uwumn,,,L1 - Block 43,,24,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,2lMJC2lKP428HGIz2Uwung,,,L1 - Block 43,,25,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,2lMJC2lKP428HGIz2Uwu$K,,,L1 - Block 43,,26,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,0InKO$aSz2yQz3IoT3qxBb,,,L3,,27,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,0InKO$aSz2yQz3IoT3qxBO,,,L3,,28,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,0InKO$aSz2yQz3IoT3qx9s,,,L3,,29,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,0InKO$aSz2yQz3IoT3qx9c,,,L3,,30,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,0InKO$aSz2yQz3IoT3qxNr,,,L3,,31,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,0InKO$aSz2yQz3IoT3qxNY,,,L3,,32,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,0InKO$aSz2yQz3IoT3qxNF,,,L3,,33,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,0InKO$aSz2yQz3IoT3qxMl,,,L3,,34,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,0InKO$aSz2yQz3IoT3qxKV,,,L3,,35,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,0InKO$aSz2yQz3IoT3qa2A,,,L3,,36,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,0InKO$aSz2yQz3IoT3qa1d,,,L3,,37,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,0InKO$aSz2yQz3IoT3qa0K,,,L3,,38,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,3efswn5OvAgP4OL1$fgHIo,,,L3,,39,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,2jEL9ibH999OK9kpTkEWJ2,,,L4,,40,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
