Door Schedule 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly Code,Assembly Description,Assembly Name,Classification Number,Classification Title,Comments,Construction Type,Cost,Count,Description,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Family,Family and Type,Family Thumbnail,Finish,Fire Rating,Frame Finish,Frame Material,Frame Type,Function,Hardware,Head,Head Height,Heat Transfer Coefficient (U),Height,IFC Predefined Type,IfcGUID,Image,Jamb,Keynote,Level,Manufacturer,Mark,Material,Model,Operation,Phase Created,Phase Demolished,Rough Height,Rough Width,Sill,Sill Height,Solar Heat Gain Coefficient,Thermal Resistance (R),Thickness,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,Under Cut,URL,Visual Light Transmittance,Width
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (180 MIN),,PNT,180 MIN,PNT,HM,,Exterior,A3,,7' - 0",,7' - 0",,0OoVmktSP6XQwhSCQS0Lm$,,,,Parking,,S10,STL,,,New Construction,None,7' - 4",3' - 4",,0' - 0",,,0' - 1 3/4",36" x 84" (180 MIN),,,0O5ZCyMCrCOQ6uiL7qfh6M,,77,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84",,PNT,NR,PNT,HM,,Exterior,A1,,7' - 0",,7' - 0",,0OoVmktSP6XQwhSCQS0LoC,,,,L1 - Block 35,,S11A,STL,,,New Construction,None,7' - 4",3' - 4",,0' - 0",,,0' - 1 3/4",36" x 84",,,3txS939Df6TQnAmwoSbdHD,,11,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (180 MIN),,PNT,180 MIN,PNT,HM,,Exterior,A3,,7' - 0",,7' - 0",,0OoVmktSP6XQwhSCQS0Lrc,,,,L4,,S14,STL,,,New Construction,None,7' - 4",3' - 4",,0' - 0",,,0' - 1 3/4",36" x 84" (180 MIN),,,0O5ZCyMCrCOQ6uiL7qfh6M,,77,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (180 MIN),,PNT,180 MIN,PNT,HM,,Exterior,A3,,7' - 0",,7' - 0",,0OoVmktSP6XQwhSCQS0Lt0,,,,L3,,S13,STL,,,New Construction,None,7' - 4",3' - 4",,0' - 0",,,0' - 1 3/4",36" x 84" (180 MIN),,,0O5ZCyMCrCOQ6uiL7qfh6M,,77,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (180 MIN),,PNT,180 MIN,PNT,HM,,Exterior,A3,,7' - 0",,7' - 0",,0OoVmktSP6XQwhSCQS0LtF,,,,L5,,S15,STL,,,New Construction,None,7' - 4",3' - 4",,0' - 0",,,0' - 1 3/4",36" x 84" (180 MIN),,,0O5ZCyMCrCOQ6uiL7qfh6M,,77,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (180 MIN),,PNT,180 MIN,PNT,HM,,Exterior,A3,,7' - 0",,7' - 0",,07qCfCfOH2$9ZHLwxaU8R$,,,,Parking,,S30,STL,,,New Construction,None,7' - 4",3' - 4",,0' - 0",,,0' - 1 3/4",36" x 84" (180 MIN),,,0O5ZCyMCrCOQ6uiL7qfh6M,,77,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (180 MIN),,PNT,180 MIN,PNT,HM,,Exterior,A3,,7' - 0",,7' - 0",,07qCfCfOH2$9ZHLwxaU8Rv,,,,L2,,S32,STL,,,New Construction,None,7' - 4",3' - 4",,0' - 0",,,0' - 1 3/4",36" x 84" (180 MIN),,,0O5ZCyMCrCOQ6uiL7qfh6M,,77,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (180 MIN),,PNT,180 MIN,PNT,HM,,Exterior,A3,,7' - 0",,7' - 0",,07qCfCfOH2$9ZHLwxaU8Ru,,,,L4,,S34,STL,,,New Construction,None,7' - 4",3' - 4",,0' - 0",,,0' - 1 3/4",36" x 84" (180 MIN),,,0O5ZCyMCrCOQ6uiL7qfh6M,,77,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (180 MIN),,PNT,180 MIN,PNT,HM,,Exterior,A3,,7' - 0",,7' - 0",,07qCfCfOH2$9ZHLwxaU8Rx,,,,L3,,S33,STL,,,New Construction,None,7' - 4",3' - 4",,0' - 0",,,0' - 1 3/4",36" x 84" (180 MIN),,,0O5ZCyMCrCOQ6uiL7qfh6M,,77,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (180 MIN),,PNT,180 MIN,PNT,HM,,Exterior,A3,,7' - 0",,7' - 0",,07qCfCfOH2$9ZHLwxaU8Rw,,,,L5,,S35,STL,,,New Construction,None,7' - 4",3' - 4",,0' - 0",,,0' - 1 3/4",36" x 84" (180 MIN),,,0O5ZCyMCrCOQ6uiL7qfh6M,,77,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (Exterior),,PNT,NR,PNT,HM,,Exterior,B1,,7' - 0",,7' - 0",,1nVAY8og5DUQW261No7qct,,,,L1 - Block 43,,109D,STL,,,New Construction,None,7' - 4",3' - 4",,0' - 0",,,0' - 1 3/4",36" x 84" (Exterior),,,0usV6tDDnFohq5PghQ5DSM,,72,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush-Dbl_Acting,Door-Passage-Single-Flush-Dbl_Acting: 36" x 96",,PNT,,PNT,HM,,Exterior,B5,,8' - 0",,8' - 0",,0s9hxL8vH4AQpm7LXCLO0W,,,,L1 - Block 35,,102B,STL,,,New Construction,None,8' - 1 1/4",3' - 2 1/2",,0' - 0",,,0' - 1 3/4",36" x 96",,,0s9hxL8vH4AQpm7LXCLO01,,31,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 42" x 96" (Exterior),,PNT,NR,PNT,HM,,Exterior,B4,,8' - 0",,8' - 0",,0s9hxL8vH4AQpm7LXCLO2x,,,,L1 - Block 35,,102A,STL,,,New Construction,None,8' - 4",3' - 10",,0' - 0",,,0' - 1 3/4",42" x 96" (Exterior),,,3aBrJaGa13sgWNnfv8ajfq,,37,--,,,3' - 6"
B2030100,Glazed Doors & Entrances,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Two_Lite,Door-Passage-Single-Two_Lite: 36" x 84" (90 MIN),,PNT,90 MIN,PNT,HM,,Exterior,A2,,7' - 3",,7' - 0",,0s9hxL8vH4AQpm7LXCLOw0,,,,L1 - Block 35,,101D,STL,,,New Construction,None,7' - 1 1/4",3' - 2 1/2",,0' - 3",,,0' - 1 3/4",36" x 84" (90 MIN),,,2WiNTEbs96VfWyr2qfzjxB,,82,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 96",,PNT,NR,PNT,HM,,Exterior,B5,,8' - 0",,8' - 0",,3sST0Bh_12DO2tp_YPi3$3,,,,L1 - Block 37,,107B,STL,,,New Construction,None,8' - 1 1/4",3' - 2 1/2",,0' - 0",,,0' - 1 3/4",36" x 96",,,3txS939Df6TQnAmwoSbdHB,,14,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 96" (Exterior),,PNT,NR,PNT,HM,,Exterior,B3,,8' - 0",,8' - 0",,3sST0Bh_12DO2tp_YPi3xL,,,,L1 - Block 37,,105C,STL,,,New Construction,None,8' - 4",3' - 4",,0' - 0",,,0' - 1 3/4",36" x 96" (Exterior),,,0usV6tDDnFohq5PghQ5DTD,,73,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 96" (Exterior),,PNT,NR,PNT,HM,,Exterior,B3,,8' - 0",,8' - 0",,3sST0Bh_12DO2tp_YPi3un,,,,L1 - Block 37,,107C,STL,,,New Construction,None,8' - 4",3' - 4",,0' - 0",,,0' - 1 3/4",36" x 96" (Exterior),,,0usV6tDDnFohq5PghQ5DTD,,73,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 96" (Exterior),,PNT,NR,PNT,HM,,Exterior,B3,,8' - 0",,8' - 0",,3sST0Bh_12DO2tp_YPi3vT,,,,L1 - Block 37,,108E,STL,,,New Construction,None,8' - 4",3' - 4",,0' - 0",,,0' - 1 3/4",36" x 96" (Exterior),,,0usV6tDDnFohq5PghQ5DTD,,73,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (Roof),,PNT,,PNT,HM,,Exterior,B2,,8' - 3",,7' - 0",,0nH$5MkGj3a9cdFf5Hm4ny,,,,R2,,S16,STL,,,New Construction,None,7' - 4",3' - 4",,1' - 3",,,0' - 1 3/4",36" x 84" (Roof),,,0TeQPvs6PFvRYPhBxV5qmZ,,74,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (90 MIN),,PNT,90 MIN,PNT,HM,,Exterior,A2,,7' - 0",,7' - 0",,0LMLf9qhPA08maubRr4kLE,,,,L3,,301B,STL,,,New Construction,None,7' - 4",3' - 4",,0' - 0",,,0' - 1 3/4",36" x 84" (90 MIN),,,0O5ZCyMCrCOQ6uiL7qfh6K,,76,--,,,3' - 0"
