Duct Fitting Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Assembly Code,Assembly Description,Assembly Name,Classification Number,Classification Title,Comments,Cost,Count,Critical Path,Description,Elevation from Level,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Family,Family and Type,Free Size,IFC Predefined Type,IfcGUID,Image,Insulation Thickness,Insulation Type,Keynote,Level,Lining Thickness,Lining Type,Manufacturer,Mark,Model,Overall Size,Phase Created,Phase Demolished,Size,System Abbreviation,System Classification,System Name,System Type,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,URL,Volume
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 SF,,,,23.75.70.14,,,,1,Yes,,9' - 1 1/16",,,,By Type,,Default,,Round Transition - Angle,Round Transition - Angle: 45 Degree,8"ø-6"ø,,0B82sWVf587AtmxOGOUsbM,,0",,,L2,0",,,,,8"ø-6"ø,New Construction,None,8"ø-6"ø,,Supply Air,Mechanical Supply Air 1,Supply Air,45 Degree,,,1qeKH8MwjCTgLkTOQ9aX93,,,,0.05 CF
,,,,23.75.70.14,,,,1,Yes,,9' - 1 1/16",,,,By Type,,Default,,Round Tee,Round Tee: Standard,8"ø-8"ø-6"ø,,0B82sWVf587AtmxOGOUswe,,0",,,L2,0",,,,,8"ø-8"ø-6"ø,New Construction,None,8"ø-8"ø-6"ø,,Supply Air,Mechanical Supply Air 1,Supply Air,Standard,,,1qeKH8MwjCTgLkTOQ9aX$W,,,,0.33 CF
0 SF,,,,23.75.70.14,,,,1,No,,8' - 1 5/16",,,,By Type,,Default,,Rectangular to Round Transition - Angle,Rectangular to Round Transition - Angle: 45 Degree,6"x6"-6"ø,,0B82sWVf587AtmxOGOUt83,,0",,,L2,0",,,,,6"x6"-6"ø,New Construction,None,6"x6"-6"ø,,Supply Air,Mechanical Supply Air 1,Supply Air,45 Degree,,,1qeKH8MwjCTgLkTOQ9aZBE,,,,0.03 CF
,,,,23.75.70.14,,,,1,Yes,,8' - 7",,,,By Type,,Default,,Rectangular Elbow - Mitered,Rectangular Elbow - Mitered: Standard,4"x14"-4"x14",,1GVpV6r_HFfgMKqw1w5Bi8,,0",,,L2,0",,,,,4"x14"-4"x14",New Construction,None,4"x14"-4"x14",,Return Air,Mechanical Return Air 1,Return Air,Standard,,,1qeKH8MwjCTgLkTOQ9ajN_,,,,0.19 CF
1 SF,,,,23.75.70.14,,,,1,Yes,,8' - 7",,,,By Type,,Default,,Rectangular to Round Transition - Angle,Rectangular to Round Transition - Angle: 45 Degree,14"x4"-8"ø,,1GVpV6r_HFfgMKqw1w5Bis,,0",,,L2,0",,,,,14"x4"-8"ø,New Construction,None,14"x4"-8"ø,,Return Air,Mechanical Return Air 1,Return Air,45 Degree,,,1qeKH8MwjCTgLkTOQ9aZBE,,,,0.25 CF
,,,,23.75.70.14,,,,1,No,,0' - 6",,,,By Type,,Default,,Rectangular Endcap,Rectangular Endcap: Standard,14"x4",,1GVpV6r_HFfgMKqw1w5Bj7,,0",,,L2,0",,,,,14"x4",New Construction,None,14"x4",,Return Air,Mechanical Return Air 1,Return Air,Standard,,,1qeKH8MwjCTgLkTOQ9aimU,,,,0.03 CF
,,,,23.75.70.14,,,,1,No,,8' - 8",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,1GVpV6r_HFfgMKqw1w5B3X,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 35,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.07 CF
,,,,23.75.70.14,,,,1,Yes,,8' - 8",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,1GVpV6r_HFfgMKqw1w5B7L,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Supply Air,Mechanical Supply Air 5,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.07 CF
,,,,23.75.70.14,,,,1,No,,8' - 4",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,1GVpV6r_HFfgMKqw1w58pI,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 35,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.05 CF
