Electrical Equipment Schedule 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADSK MS Comments,Apparent Power Phase A,Apparent Power Phase B,Apparent Power Phase C,Appliance - Dwelling Unit Connected Apparent Power,Appliance - Dwelling Unit Connected Current,Appliance - Dwelling Unit Demand Apparent Power,Appliance - Dwelling Unit Demand Factor,Appliance - Dwelling Unit Estimated Demand Current,Assembly Code,Assembly Description,Assembly Name,Branch Circuit Apparent Power Phase A,Branch Circuit Apparent Power Phase B,Branch Circuit Apparent Power Phase C,Branch Circuit Current Phase A,Branch Circuit Current Phase B,Branch Circuit Current Phase C,Bussing,Circuit Number,Classification Number,Classification Title,Comments,Cooling Connected Apparent Power,Cooling Connected Current,Cooling Demand Apparent Power,Cooling Demand Factor,Cooling Estimated Demand Current,Cost,Count,Current Phase A,Current Phase B,Current Phase C,Default Connected Apparent Power,Default Connected Current,Default Demand Apparent Power,Default Demand Factor,Default Estimated Demand Current,Description,Distribution System,Electric Clothes Dryer Connected Apparent Power,Electric Clothes Dryer Connected Current,Electric Clothes Dryer Demand Apparent Power,Electric Clothes Dryer Demand Factor,Electric Clothes Dryer Estimated Demand Current,Electric Range - 3.5 kW to 8.75 kW Connected Apparent Power,Electric Range - 3.5 kW to 8.75 kW Connected Current,Electric Range - 3.5 kW to 8.75 kW Demand Apparent Power,Electric Range - 3.5 kW to 8.75 kW Demand Factor,Electric Range - 3.5 kW to 8.75 kW Estimated Demand Current,Electric Range - Less than 3.5 kW Connected Apparent Power,Electric Range - Less than 3.5 kW Connected Current,Electric Range - Less than 3.5 kW Demand Apparent Power,Electric Range - Less than 3.5 kW Demand Factor,Electric Range - Less than 3.5 kW Estimated Demand Current,Electrical Data,Elevation from Level,Elevator Connected Apparent Power,Elevator Connected Current,Elevator Demand Apparent Power,Elevator Demand Factor,Elevator Estimated Demand Current,Enclosure,Enlarged Views Only,Equipment Connected Apparent Power,Equipment Connected Current,Equipment Demand Apparent Power,Equipment Demand Factor,Equipment Estimated Demand Current,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Existing Load - 30 Day Metered Connected Apparent Power,Existing Load - 30 Day Metered Connected Current,Existing Load - 30 Day Metered Demand Apparent Power,Existing Load - 30 Day Metered Demand Factor,Existing Load - 30 Day Metered Estimated Demand Current,Existing Load - Lighting Connected Apparent Power,Existing Load - Lighting Connected Current,Existing Load - Lighting Demand Apparent Power,Existing Load - Lighting Demand Factor,Existing Load - Lighting Estimated Demand Current,Existing Load Connected Apparent Power,Existing Load Connected Current,Existing Load Demand Apparent Power,Existing Load Demand Factor,Existing Load Estimated Demand Current,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Family,Family and Type,Farm Load Connected Apparent Power,Farm Load Connected Current,Farm Load Demand Apparent Power,Farm Load Demand Factor,Farm Load Estimated Demand Current,Feed,Feed Through Lugs,Feed Through Lugs Apparent Power Phase A,Feed Through Lugs Apparent Power Phase B,Feed Through Lugs Apparent Power Phase C,Feed Through Lugs Current Phase A,Feed Through Lugs Current Phase B,Feed Through Lugs Current Phase C,Ground Bus,Heating Connected Apparent Power,Heating Connected Current,Heating Demand Apparent Power,Heating Demand Factor,Heating Estimated Demand Current,HVAC Connected Apparent Power,HVAC Connected Current,HVAC Demand Apparent Power,HVAC Demand Factor,HVAC Estimated Demand Current,IFC Predefined Type,IfcGUID,Image,Keynote,Kitchen Equipment - Non-Dwelling Unit Connected Apparent Power,Kitchen Equipment - Non-Dwelling Unit Connected Current,Kitchen Equipment - Non-Dwelling Unit Demand Apparent Power,Kitchen Equipment - Non-Dwelling Unit Demand Factor,Kitchen Equipment - Non-Dwelling Unit Estimated Demand Current,Level,Lighting - Dwelling Unit Connected Apparent Power,Lighting - Dwelling Unit Connected Current,Lighting - Dwelling Unit Demand Apparent Power,Lighting - Dwelling Unit Demand Factor,Lighting - Dwelling Unit Estimated Demand Current,Lighting - Exterior Connected Apparent Power,Lighting - Exterior Connected Current,Lighting - Exterior Demand Apparent Power,Lighting - Exterior Demand Factor,Lighting - Exterior Estimated Demand Current,Lighting - General Connected Apparent Power,Lighting - General Connected Current,Lighting - General Demand Apparent Power,Lighting - General Demand Factor,Lighting - General Estimated Demand Current,Lighting - Hospital Connected Apparent Power,Lighting - Hospital Connected Current,Lighting - Hospital Demand Apparent Power,Lighting - Hospital Demand Factor,Lighting - Hospital Estimated Demand Current,Lighting - Hotel Connected Apparent Power,Lighting - Hotel Connected Current,Lighting - Hotel Demand Apparent Power,Lighting - Hotel Demand Factor,Lighting - Hotel Estimated Demand Current,Lighting - Warehouse Connected Apparent Power,Lighting - Warehouse Connected Current,Lighting - Warehouse Demand Apparent Power,Lighting - Warehouse Demand Factor,Lighting - Warehouse Estimated Demand Current,Lighting Connected Apparent Power,Lighting Connected Current,Lighting Demand Apparent Power,Lighting Demand Factor,Lighting Estimated Demand Current,Location,Mains,Mains Type,Manufacturer,Mark,Max Number of Circuits,Max Number of Single Pole Breakers,Maximum Amount of Circuits,MCB Rating,Model,Modifications,Motor Connected Apparent Power,Motor Connected Current,Motor Demand Apparent Power,Motor Demand Factor,Motor Estimated Demand Current,Mounting,Neutral Bus,Neutral Rating,Number of Phases,Number of Wires,Other Connected Apparent Power,Other Connected Current,Other Demand Apparent Power,Other Demand Factor,Other Estimated Demand Current,Panel Name,Part Type,Phase Created,Phase Demolished,Power - General Connected Apparent Power,Power - General Connected Current,Power - General Demand Apparent Power,Power - General Demand Factor,Power - General Estimated Demand Current,Power Connected Apparent Power,Power Connected Current,Power Demand Apparent Power,Power Demand Factor,Power Estimated Demand Current,Receptacle Connected Apparent Power,Receptacle Connected Current,Receptacle Demand Apparent Power,Receptacle Demand Factor,Receptacle Estimated Demand Current,Schedule Footer Notes,Schedule Header Notes,Secondary Distribution System,Short Circuit Rating Comments,Solar - PV Panel Connected Apparent Power,Solar - PV Panel Connected Current,Solar - PV Panel Demand Apparent Power,Solar - PV Panel Demand Factor,Solar - PV Panel Estimated Demand Current,Spare Connected Apparent Power,Spare Connected Current,Spare Demand Apparent Power,Spare Demand Factor,Spare Estimated Demand Current,SubFeed Lugs,Supply From,Total Connected Apparent Power,Total Connected Current,Total Demand Apparent Power,Total Demand Factor,Total Estimated Demand Current,Transformer Connected Apparent Power,Transformer Connected Current,Transformer Demand Apparent Power,Transformer Demand Factor,Transformer Estimated Demand Current,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,URL,Voltage Comments,Wattage Comments,X-Ray Connected Apparent Power,X-Ray Connected Current,X-Ray Demand Apparent Power,X-Ray Demand Factor,X-Ray Estimated Demand Current
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7136 VA,4319 VA,3883 VA,,,,,,,,,7136 VA,4319 VA,3883 VA,60 A,37 A,32 A,,3,23.80.30.11.17,,,,,,,,,1,60 A,37 A,32 A,,,,,,,120/208 Wye,,,,,,,,,,,,,,,,208 V/3-0 VA,4' - 0",,,,,,Type 1,,,,,,,,,,,,,,,,,,,,,,,,,By Type,,Default,,Lighting and Appliance Panelboard - 208V MCB,Lighting and Appliance Panelboard - 208V MCB: 100 A,,,,,,,,0 VA,0 VA,0 VA,0 A,0 A,0 A,,,,,,,10000 VA,28 A,10000 VA,100.00%,28 A,,3M$Qtr4nbCV99j7973jyiw,,,,,,,,L5,124 VA,0 A,124 VA,100.00%,0 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live/Work Unit 506,100 A,,,7,,24,,100 A,,,,,,,,Recessed,,,3,4,1440 VA,4 A,1440 VA,100.00%,4 A,P506,Panelboard,New Construction,None,,,,,,360 VA,1 A,360 VA,100.00%,1 A,3420 VA,9 A,3420 VA,100.00%,9 A,,,,,,,,,,,,,,,,MB21,15338 VA,43 A,15338 VA,100.00%,43 A,,,,,,100 A,,,3M$Qtr4nbCV99j7973jyiS,,,,,,,,,,
,5588 VA,4953 VA,4616 VA,,,,,,,,,5588 VA,4953 VA,4616 VA,47 A,42 A,38 A,,3,23.80.30.11.17,,,,,,,,,1,47 A,42 A,38 A,,,,,,,120/208 Wye,,,,,,,,,,,,,,,,208 V/3-0 VA,4' - 0",,,,,,Type 1,,,,,,,,,,,,,,,,,,,,,,,,,By Type,,Default,,Lighting and Appliance Panelboard - 208V MCB,Lighting and Appliance Panelboard - 208V MCB: 100 A,,,,,,,,0 VA,0 VA,0 VA,0 A,0 A,0 A,,,,,,,10000 VA,28 A,10000 VA,100.00%,28 A,,2Up1U7k117ie2$BGfzSmti,,,,,,,,L4,124 VA,0 A,124 VA,100.00%,0 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live/Work Unit 408,100 A,,,8,,24,,100 A,,,,,,,,Recessed,,,3,4,1440 VA,4 A,1440 VA,100.00%,4 A,P408,Panelboard,New Construction,None,,,,,,360 VA,1 A,360 VA,100.00%,1 A,3240 VA,9 A,3240 VA,100.00%,9 A,,,,,,,,,,,,,,,,MB23,15158 VA,42 A,15158 VA,100.00%,42 A,,,,,,100 A,,,3M$Qtr4nbCV99j7973jyiS,,,,,,,,,,
,6843 VA,4342 VA,3793 VA,,,,,,,,,6843 VA,4342 VA,3793 VA,58 A,37 A,32 A,,4,23.80.30.11.17,,,,,,,,,1,58 A,37 A,32 A,,,,,,,120/208 Wye,,,,,,,,,,,,,,,,208 V/3-0 VA,4' - 0",,,,,,Type 1,,,,,,,,,,,,,,,,,,,,,,,,,By Type,,Default,,Lighting and Appliance Panelboard - 208V MCB,Lighting and Appliance Panelboard - 208V MCB: 100 A,,,,,,,,0 VA,0 VA,0 VA,0 A,0 A,0 A,,,,,,,10000 VA,28 A,10000 VA,100.00%,28 A,,2Up1U7k117ie2$BGfzSmtS,,,,,,,,L3,124 VA,0 A,124 VA,100.00%,0 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live/Work Unit 307,100 A,,,9,,24,,100 A,,,,,,,,Recessed,,,3,4,1440 VA,4 A,1440 VA,100.00%,4 A,P307,Panelboard,New Construction,None,,,,,,180 VA,0 A,180 VA,100.00%,0 A,3240 VA,9 A,3240 VA,100.00%,9 A,,,,,,,,,,,,,,,,MB12,14978 VA,42 A,14978 VA,100.00%,42 A,,,,,,100 A,,,3M$Qtr4nbCV99j7973jyiS,,,,,,,,,,
,7033 VA,4371 VA,3754 VA,,,,,,,,,7033 VA,4371 VA,3754 VA,59 A,37 A,31 A,,2,23.80.30.11.17,,,,,,,,,1,59 A,37 A,31 A,,,,,,,120/208 Wye,,,,,,,,,,,,,,,,208 V/3-0 VA,4' - 0",,,,,,Type 1,,,,,,,,,,,,,,,,,,,,,,,,,By Type,,Default,,Lighting and Appliance Panelboard - 208V MCB,Lighting and Appliance Panelboard - 208V MCB: 100 A,,,,,,,,0 VA,0 VA,0 VA,0 A,0 A,0 A,,,,,,,10000 VA,28 A,10000 VA,100.00%,28 A,,2Up1U7k117ie2$BGfzSmvF,,,,,,,,L2,124 VA,0 A,124 VA,100.00%,0 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live/Work Unit 205,100 A,,,10,,24,,100 A,,,,,,,,Recessed,,,3,4,1440 VA,4 A,1440 VA,100.00%,4 A,P205,Panelboard,New Construction,None,,,,,,360 VA,1 A,360 VA,100.00%,1 A,3240 VA,9 A,3240 VA,100.00%,9 A,,,,,,,,,,,,,,,,MB21,15158 VA,42 A,15158 VA,100.00%,42 A,,,,,,100 A,,,3M$Qtr4nbCV99j7973jyiS,,,,,,,,,,
,5152 VA,3873 VA,4323 VA,,,,,,,,,5152 VA,3873 VA,4323 VA,44 A,32 A,37 A,,4,23.80.30.11.17,,,,,,,,,1,44 A,32 A,37 A,,,,,,,120/208 Wye,,,,,,,,,,,,,,,,208 V/3-0 VA,4' - 0",,,,,,Type 1,,,,,,,,,,,,,,,,,,,,,,,,,By Type,,Default,,Lighting and Appliance Panelboard - 208V MCB,Lighting and Appliance Panelboard - 208V MCB: 100 A,,,,,,,,0 VA,0 VA,0 VA,0 A,0 A,0 A,,,,,,,10000 VA,28 A,10000 VA,100.00%,28 A,,0m9vfM1Zr9d88fE3OWL61o,,,,,,,,L5,114 VA,0 A,114 VA,100.00%,0 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live/Work Unit 507,100 A,,,11,,24,,100 A,,,,,,,,Recessed,,,3,4,540 VA,1 A,540 VA,100.00%,1 A,P507,Panelboard,New Construction,None,,,,,,360 VA,1 A,360 VA,100.00%,1 A,2340 VA,6 A,2340 VA,100.00%,6 A,,,,,,,,,,,,,,,,MB21,13348 VA,37 A,13348 VA,100.00%,37 A,,,,,,100 A,,,3M$Qtr4nbCV99j7973jyiS,,,,,,,,,,
,3603 VA,3963 VA,3442 VA,,,,,,,,,3603 VA,3963 VA,3442 VA,30 A,33 A,29 A,,4,23.80.30.11.17,,,,,,,,,1,30 A,33 A,29 A,,,,,,,120/208 Wye,,,,,,,,,,,,,,,,208 V/3-0 VA,4' - 0",,,,,,Type 1,,,,,,,,,,,,,,,,,,,,,,,,,By Type,,Default,,Lighting and Appliance Panelboard - 208V MCB,Lighting and Appliance Panelboard - 208V MCB: 100 A,,,,,,,,0 VA,0 VA,0 VA,0 A,0 A,0 A,,,,,,,10000 VA,28 A,10000 VA,100.00%,28 A,,0m9vfM1Zr9d88fE3OWL67V,,,,,,,,L5,114 VA,0 A,114 VA,100.00%,0 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Studio Unit 504,100 A,,,12,,24,,100 A,,,,,,,,Recessed,,,3,4,540 VA,1 A,540 VA,100.00%,1 A,P504,Panelboard,New Construction,None,,,,,,180 VA,0 A,180 VA,100.00%,0 A,180 VA,0 A,180 VA,100.00%,0 A,,,,,,,,,,,,,,,,MB11,11008 VA,31 A,11008 VA,100.00%,31 A,,,,,,100 A,,,3M$Qtr4nbCV99j7973jyiS,,,,,,,,,,
,3959 VA,4616 VA,4233 VA,,,,,,,,,3959 VA,4616 VA,4233 VA,33 A,39 A,36 A,,5,23.80.30.11.17,,,,,,,,,1,33 A,39 A,36 A,,,,,,,120/208 Wye,,,,,,,,,,,,,,,,208 V/3-0 VA,4' - 0",,,,,,Type 1,,,,,,,,,,,,,,,,,,,,,,,,,By Type,,Default,,Lighting and Appliance Panelboard - 208V MCB,Lighting and Appliance Panelboard - 208V MCB: 100 A,,,,,,,,0 VA,0 VA,0 VA,0 A,0 A,0 A,,,,,,,10000 VA,28 A,10000 VA,100.00%,28 A,,0m9vfM1Zr9d88fE3OWL65k,,,,,,,,L4,114 VA,0 A,114 VA,100.00%,0 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live/Work Unit 410,100 A,,,13,,24,,100 A,,,,,,,,Recessed,,,3,4,540 VA,1 A,540 VA,100.00%,1 A,P410,Panelboard,New Construction,None,,,,,,360 VA,1 A,360 VA,100.00%,1 A,1800 VA,5 A,1800 VA,100.00%,5 A,,,,,,,,,,,,,,,,MB23,12808 VA,36 A,12808 VA,100.00%,36 A,,,,,,100 A,,,3M$Qtr4nbCV99j7973jyiS,,,,,,,,,,
,4660 VA,4342 VA,3626 VA,,,,,,,,,4660 VA,4342 VA,3626 VA,40 A,37 A,30 A,,2,23.80.30.11.17,,,,,,,,,1,40 A,37 A,30 A,,,,,,,120/208 Wye,,,,,,,,,,,,,,,,208 V/3-0 VA,4' - 0",,,,,,Type 1,,,,,,,,,,,,,,,,,,,,,,,,,By Type,,Default,,Lighting and Appliance Panelboard - 208V MCB,Lighting and Appliance Panelboard - 208V MCB: 100 A,,,,,,,,0 VA,0 VA,0 VA,0 A,0 A,0 A,,,,,,,10000 VA,28 A,10000 VA,100.00%,28 A,,0m9vfM1Zr9d88fE3OWL6Ao,,,,,,,,L4,114 VA,0 A,114 VA,100.00%,0 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Studio Unit 404,100 A,,,14,,24,,100 A,,,,,,,,Recessed,,,3,4,540 VA,1 A,540 VA,100.00%,1 A,P404,Panelboard,New Construction,None,,,,,,360 VA,1 A,360 VA,100.00%,1 A,1620 VA,4 A,1620 VA,100.00%,4 A,,,,,,,,,,,,,,,,MB22,12628 VA,35 A,12628 VA,100.00%,35 A,,,,,,100 A,,,3M$Qtr4nbCV99j7973jyiS,,,,,,,,,,
,5133 VA,3802 VA,3693 VA,,,,,,,,,5133 VA,3802 VA,3693 VA,43 A,32 A,31 A,,5,23.80.30.11.17,,,,,,,,,1,43 A,32 A,31 A,,,,,,,120/208 Wye,,,,,,,,,,,,,,,,208 V/3-0 VA,4' - 0",,,,,,Type 1,,,,,,,,,,,,,,,,,,,,,,,,,By Type,,Default,,Lighting and Appliance Panelboard - 208V MCB,Lighting and Appliance Panelboard - 208V MCB: 100 A,,,,,,,,0 VA,0 VA,0 VA,0 A,0 A,0 A,,,,,,,10000 VA,28 A,10000 VA,100.00%,28 A,,0m9vfM1Zr9d88fE3OWL6DP,,,,,,,,L3,114 VA,0 A,114 VA,100.00%,0 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live/Work Unit 309,100 A,,,15,,24,,100 A,,,,,,,,Recessed,,,3,4,540 VA,1 A,540 VA,100.00%,1 A,P309,Panelboard,New Construction,None,,,,,,360 VA,1 A,360 VA,100.00%,1 A,1620 VA,4 A,1620 VA,100.00%,4 A,,,,,,,,,,,,,,,,MB22,12628 VA,35 A,12628 VA,100.00%,35 A,,,,,,100 A,,,3M$Qtr4nbCV99j7973jyiS,,,,,,,,,,
