Electrical Fixture Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly Code,Assembly Description,Assembly Name,Circuit Number,Classification Number,Classification Title,Comments,Cost,Count,Description,Electrical Data,Elevation from Level,Enlarged Views Only,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Family,Family and Type,IFC Predefined Type,IfcGUID,Image,Keynote,Level,Manufacturer,Mark,Model,Panel,Phase Created,Phase Demolished,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,URL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,3M$Qtr4nbCV99j7973jyeT,,,L5,,1,,P506,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,5,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,3M$Qtr4nbCV99j7973jz4T,,,L5,,2,,P506,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,4,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3M$Qtr4nbCV99j7973jz6d,,,L5,,3,,P506,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,4,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3M$Qtr4nbCV99j7973jz6t,,,L5,,4,,P506,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,4,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3M$Qtr4nbCV99j7973jz0M,,,L5,,5,,P506,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3M$Qtr4nbCV99j7973jzCQ,,,L5,,6,,P506,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3M$Qtr4nbCV99j7973jzCd,,,L5,,7,,P506,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3M$Qtr4nbCV99j7973jzKH,,,L5,,8,,P506,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,9,11,23.80.50.11.17,,,,1,,220 V/2-180 VA,1' - 6",,,,,By Type,,Default,,High Voltage Receptacle,High Voltage Receptacle: Standard,,3M$Qtr4nbCV99j7973jzHc,,,L5,,9,,P506,New Construction,None,Standard,,,3LPhih2fj8yueK3tIyLhvw,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,0xAf3vh1zBTg991o7CXZI3,,,L5,,10,,P500,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,0xAf3vh1zBTg991o7CXZGA,,,L5,,11,,P506,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,0xAf3vh1zBTg991o7CXZM$,,,L5,,12,,P506,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,0xAf3vh1zBTg991o7CXZg7,,,L4,,13,,P408,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,0xAf3vh1zBTg991o7CXZh3,,,L4,,14,,P408,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,0xAf3vh1zBTg991o7CXZfU,,,L5,,15,,P506,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,0xAf3vh1zBTg991o7CXZjS,,,L5,,16,,P506,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,6,23.80.50.11.17,,,,1,,120 V/1-180 VA,4' - 0",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Counter Top,,0xAf3vh1zBTg991o7CXZWt,,,L5,,17,,P506,New Construction,None,Counter Top,,,2CTEMFkBXCdewbyEowT_As,,,
,,,7,9,23.80.50.11.17,,,,1,,220 V/2-180 VA,1' - 6",,,,,By Type,,Default,,High Voltage Receptacle,High Voltage Receptacle: Standard,,0xAf3vh1zBTg991o7CXZd4,,,L5,,18,,P507,New Construction,None,Standard,,,3LPhih2fj8yueK3tIyLhvw,,,
,,,6,23.80.50.11.17,,,,1,,120 V/1-180 VA,4' - 0",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,0xAf3vh1zBTg991o7CXZw$,,,L5,,19,,P507,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,5,23.80.50.11.17,,,,1,,120 V/1-180 VA,4' - 0",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Counter Top,,0xAf3vh1zBTg991o7CXZwR,,,L5,,20,,P507,New Construction,None,Counter Top,,,2CTEMFkBXCdewbyEowT_As,,,
,,,3,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,0xAf3vh1zBTg991o7CXZv$,,,L5,,21,,P507,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,4,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,0xAf3vh1zBTg991o7CXZtE,,,L5,,22,,P507,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,0xAf3vh1zBTg991o7CXZrk,,,L5,,24,,P507,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,0xAf3vh1zBTg991o7CXiAF,,,L5,,25,,P507,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,0xAf3vh1zBTg991o7CXiB8,,,L5,,26,,P507,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,0xAf3vh1zBTg991o7CXiEq,,,L5,,27,,P507,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
