Lighting Fixture Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apparent Power,Assembly Code,Assembly Description,Assembly Name,Ballast Loss,Circuit Number,Classification Number,Classification Title,Coefficient of Utilization,Comments,Cost,Count,Description,Efficacy,Electrical Data,Elevation from Level,Enlarged Views Only,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Family,Family and Type,IFC Predefined Type,IfcGUID,Illuminance,Image,Initial Color Temperature,Keynote,Lamp,Lamp Lumen Depreciation,Lamp Tilt Loss,Length,Level,Luminaire Dirt Depreciation,Luminous Flux,Luminous Intensity,Manufacturer,Mark,Model,Panel,Phase Created,Phase Demolished,Surface Depreciation Loss,Switch ID,Temperature Loss,Total Light Loss Factor,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,URL,Voltage Loss,Wattage,Wattage Comments,Width
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 VA,D5020210,Lighting - Fluorescent,,0.88,10,23.80.70.11.14.11,,0.552886,,,1,,50 lm/W,120 V/1-8 VA,0' - 0",,,,,By Type,,Default,,Downlight - Under Cabinet,Downlight - Under Cabinet: 18" 120V,,1wejEoruvD5hQq7iipxxe8,0 fc,,4230 K,,T-8,1,1,,L2,1,400 lm,32 cd,,26,,P202,New Construction,None,1,,1,0.88,18" 120V,,,1wejEoruvD5hQq7iipxxm8,,F4,,1,8 W,8,
8 VA,D5020210,Lighting - Fluorescent,,0.88,11,23.80.70.11.14.11,,0.552912,,,1,,50 lm/W,120 V/1-8 VA,0' - 0",,,,,By Type,,Default,,Downlight - Under Cabinet,Downlight - Under Cabinet: 18" 120V,,1wejEoruvD5hQq7iipxxeN,0 fc,,4230 K,,T-8,1,1,,L3,1,400 lm,32 cd,,27,,P303,New Construction,None,1,,1,0.88,18" 120V,,,1wejEoruvD5hQq7iipxxm8,,F4,,1,8 W,8,
8 VA,D5020210,Lighting - Fluorescent,,0.88,11,23.80.70.11.14.11,,0.553091,,,1,,50 lm/W,120 V/1-8 VA,0' - 0",,,,,By Type,,Default,,Downlight - Under Cabinet,Downlight - Under Cabinet: 18" 120V,,1wejEoruvD5hQq7iipxxeM,0 fc,,4230 K,,T-8,1,1,,L4,1,400 lm,32 cd,,28,,P403,New Construction,None,1,,1,0.88,18" 120V,,,1wejEoruvD5hQq7iipxxm8,,F4,,1,8 W,8,
8 VA,D5020210,Lighting - Fluorescent,,0.88,14,23.80.70.11.14.11,,0.554513,,,1,,50 lm/W,120 V/1-8 VA,0' - 0",,,,,By Type,,Default,,Downlight - Under Cabinet,Downlight - Under Cabinet: 18" 120V,,1wejEoruvD5hQq7iipxxeL,0 fc,,4230 K,,T-8,1,1,,L3,1,400 lm,32 cd,,29,,P306,New Construction,None,1,,1,0.88,18" 120V,,,1wejEoruvD5hQq7iipxxm8,,F4,,1,8 W,8,
8 VA,D5020210,Lighting - Fluorescent,,0.88,15,23.80.70.11.14.11,,0.554642,,,1,,50 lm/W,120 V/1-8 VA,0' - 0",,,,,By Type,,Default,,Downlight - Under Cabinet,Downlight - Under Cabinet: 18" 120V,,1wejEoruvD5hQq7iipxxeK,0 fc,,4230 K,,T-8,1,1,,L4,1,400 lm,32 cd,,30,,P407,New Construction,None,1,,1,0.88,18" 120V,,,1wejEoruvD5hQq7iipxxm8,,F4,,1,8 W,8,
8 VA,D5020210,Lighting - Fluorescent,,0.88,10,23.80.70.11.14.11,,0.552886,,,1,,50 lm/W,120 V/1-8 VA,0' - 0",,,,,By Type,,Default,,Downlight - Under Cabinet,Downlight - Under Cabinet: 18" 120V,,1wejEoruvD5hQq7iipxxeJ,0 fc,,4230 K,,T-8,1,1,,L2,1,400 lm,32 cd,,31,,P202,New Construction,None,1,,1,0.88,18" 120V,,,1wejEoruvD5hQq7iipxxm8,,F4,,1,8 W,8,
8 VA,D5020210,Lighting - Fluorescent,,0.88,10,23.80.70.11.14.11,,0.552886,,,1,,50 lm/W,120 V/1-8 VA,1' - 0",,,,,By Type,,Default,,Downlight - Under Cabinet,Downlight - Under Cabinet: 24" 120V,,1wejEoruvD5hQq7iipxxeI,0 fc,,4230 K,,T-8,1,1,,L2,1,400 lm,32 cd,,32,,P202,New Construction,None,1,,1,0.88,24" 120V,,,1wejEoruvD5hQq7iipxxmA,,F5,,1,8 W,8,
8 VA,D5020210,Lighting - Fluorescent,,0.88,11,23.80.70.11.14.11,,0.552912,,,1,,50 lm/W,120 V/1-8 VA,0' - 0",,,,,By Type,,Default,,Downlight - Under Cabinet,Downlight - Under Cabinet: 18" 120V,,1wejEoruvD5hQq7iipxxeH,0 fc,,4230 K,,T-8,1,1,,L3,1,400 lm,32 cd,,33,,P303,New Construction,None,1,,1,0.88,18" 120V,,,1wejEoruvD5hQq7iipxxm8,,F4,,1,8 W,8,
8 VA,D5020210,Lighting - Fluorescent,,0.88,11,23.80.70.11.14.11,,0.552912,,,1,,50 lm/W,120 V/1-8 VA,1' - 0",,,,,By Type,,Default,,Downlight - Under Cabinet,Downlight - Under Cabinet: 24" 120V,,1wejEoruvD5hQq7iipxxeG,0 fc,,4230 K,,T-8,1,1,,L3,1,400 lm,32 cd,,34,,P303,New Construction,None,1,,1,0.88,24" 120V,,,1wejEoruvD5hQq7iipxxmA,,F5,,1,8 W,8,
