Room Schedule 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Base Finish,Base Offset,Ceiling Finish,Ceiling Height,Comments,Count,Department,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Floor Finish,IFC Predefined Type,IfcGUID,Image,Level,Limit Offset,Name,Number,Occupancy,Occupant,Perimeter,Unbounded Height,Upper Limit,Volume,Wall Finish
,,,,,,,,,,,,,,,,,,,,,,,,,,
185 SF,Vinyl Base,-10' - 11",Open,,,1,,,,By Type,,Concrete,,2gDGg7MA90nQHvffsvVoR2,,L1 - Block 35,0' - 0",Stair,S1,,,60' - 10",87' - 8",Parapet 2,15891.47 CF,Concrete
180 SF,Vinyl Base,-24' - 11 1/2",Open,,,1,,,,By Type,,Concrete,,2gDGg7MA90nQHvffsvVoOh,,L2,0' - 0",Stair,S3,,,59' - 9",87' - 8 1/2",Parapet 2,15500.45 CF,Concrete
193 SF,Vinyl Base,-13' - 5 1/2",Open,,,1,,,,By Type,,Concrete,,2gDGg7MA90nQHvffsvVoOY,,L1 - Block 37,0' - 0",Stair,S2,,,62' - 10",87' - 9",Parapet 2,16625.15 CF,Concrete
62 SF,,0' - 0",,,,1,,,,By Type,,,,2gDGg7MA90nQHvffsvVoU4,,Parking,0' - 0",Elevator,E1,,,31' - 6",87' - 9",Parapet 2,5349.03 CF,
62 SF,,-13' - 5 1/2",,,,1,,,,By Type,,,,2gDGg7MA90nQHvffsvVoUU,,L1 - Block 37,0' - 0",Elevator,E2,,,31' - 6",87' - 9",Parapet 2,5349.03 CF,
643 SF,Wood Base,0' - 0",Open,,,1,,,,By Type,,Polished Concrete/LVT,,2gDGg7MA90nQHvffsvVnwM,,L1 - Block 35,-0' - 6",Café,101,Restaurant,Restaurant,196' - 7 7/8",24' - 3",L3,13276.05 CF,Paint
433 SF,Wood Base,0' - 0",Open,,,1,,,,By Type,,Polished Concrete/LVT,,2gDGg7MA90nQHvffsvVnwf,,L1 - Block 35,-0' - 6",Café Kitchen,102,Restaurant,Restaurant,137' - 3 3/4",10' - 11",M1,4730.96 CF,Paint
675 SF,Wood Base,0' - 0",Open,,,1,,,,By Type,,Polished Concrete/LVT,,2gDGg7MA90nQHvffsvVnwi,,L1 - Block 35,-2' - 0",Outdoor Covered Dining,103,Restaurant,Restaurant,114' - 7",22' - 9",L3,14316.14 CF,Paint
1776 SF,N/A,0' - 0",N/A,,,1,,,,By Type,,Varies see Plan,,2gDGg7MA90nQHvffsvVnwZ,,L1 - Block 35,-2' - 0",Pocket Park,104,Outdoor Public,Outdoor Public,225' - 5 5/16",22' - 9",L3,39490.44 CF,N/A
1485 SF,Vinyl Base,0' - 0",Open,,,1,,,,By Type,,LVT,,2gDGg7MA90nQHvffsvVnwy,,L1 - Block 37,-2' - 0",Commercial/Retail,105,Commercial,Retail,192' - 10 13/16",9' - 6 1/2",L2,14167.37 CF,Paint/WC
953 SF,Wood Base,0' - 0",Varies see RCP,,,1,,,,By Type,,Terrazzo,,2gDGg7MA90nQHvffsvVnwp,,L1 - Block 37,-0' - 6",Residential Lobby,106,Residential Public,Residential,142' - 8 1/2",35' - 1 1/2",L4,24315.38 CF,Paint/WC
369 SF,N/A,0' - 0",Open,,,1,,,,By Type,,Concrete,,2gDGg7MA90nQHvffsvVnws,,L1 - Block 37,-2' - 0",Utility,107,,,107' - 7 3/4",9' - 6 1/2",L2,3521.59 CF,Paint
2303 SF,Vinyl Base,-3' - 6",Open,,,1,,,,By Type,,LVT,,2gDGg7MA90nQHvffsvVnvE,,L1 - Block 43,-0' - 6",Commercial/Retail,108,Commercial,Retail,275' - 6 3/4",21' - 10",L3,35776.87 CF,Paint/WC
1133 SF,Vinyl Base,0' - 0",Open,,,1,,,,By Type,,LVT,,2gDGg7MA90nQHvffsvVnvD,,L1 - Block 43,-0' - 6",Commercial/Retail,109,Commercial,Retail,207' - 3 7/8",18' - 4",L3,20752.60 CF,Paint/WC
596 SF,Wood Base,0' - 0",Gyp Board,,,1,,,,By Type,,Polished Concrete,,2gDGg7MA90nQHvffsvVn8Q,,L2,-0' - 6",Corridor,201,,,210' - 8",10' - 3",L3,4985.65 CF,Paint
839 SF,Wood Base,0' - 0",Open,,,1,,,,By Type,,Polished Concrete/LVT,,2gDGg7MA90nQHvffsvVnF7,,L2,-0' - 6",Live/Work Unit,202,Residential One Story,Residential,118' - 10 1/4",10' - 3",L3,8598.39 CF,Paint
