Wall Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorptance,Angle From Vertical,Area,Assembly Code,Assembly Description,Assembly Name,Base Constraint,Base Offset,Bottom Width,Comments,Cost,Count,Cross-Section,Default Exterior Angle,Default Interior Angle,Description,Enable Angle Overrides,Estimated Reinforcement Volume,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Exterior Angle,Family,Family and Type,Family Thumbnail,Fire Rating,Function,Heat Transfer Coefficient (U),IFC Predefined Type,IfcGUID,Image,Interior Angle,Keynote,Length,Manufacturer,Mark,Model,Phase Created,Phase Demolished,Rebar Cover,Rebar Cover - Exterior Face,Rebar Cover - Interior Face,Rebar Cover - Other Faces,Roughness,Structural Material,Structural Usage,Thermal Mass,Thermal Resistance (R),Top Constraint,Top Offset,Top Width,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,Unconnected Height,URL,Volume,Width,Width Measured At
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,,466 SF,B2010158,Ext. Wall - Brick Veneer w/ Stud,,L1 - Block 35,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Exterior - 13 5/8" Rainscreen (Two Sides) w Insultation on Metal Stud,,2 HR,Exterior,0.0240 BTU/(h·ft²·°F),,1G_I00WlX2MBQekqB04dFi,,,,18' - 7 27/32",,,,New Construction,None,,,,,3,,Non-bearing,23.6073 BTU/(ft²·°F),41.6985 (h·ft²·°F)/BTU,Up to level: L3,-0' - 1",,Exterior - 13 5/8" Rainscreen (Two Sides) w Insultation on Metal Stud,,,266x49qd94VO9VnwhX1SwZ,,X06,24' - 8",,525.76 CF,1' - 1 5/8",
0.7,,528 SF,B2010,Exterior Walls,,L1 - Block 35,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Core - Concrete 12",,4 HR,Core-shaft,0.6044 BTU/(h·ft²·°F),,1G_I00WlX2MBQekqB04dCi,,,,10' - 10 1/2",,,,New Construction,None,,,,,3,Concrete, Cast-in-Place gray,Non-bearing,22.5315 BTU/(ft²·°F),1.6546 (h·ft²·°F)/BTU,Up to level: Parapet 2,0' - 0",,Core - Concrete 12",,,2Rqwfi9uL0W9XTWzRAs_ER,,C02,76' - 9",,528.38 CF,1' - 0",
0.7,,2241 SF,B2010,Exterior Walls,,L1 - Block 43,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Exterior - 12 5/8" Rainscreen w Insultation on Metal Stud (Alley),,2 HR,Soffit,0.0273 BTU/(h·ft²·°F),,1G_I00WlX2MBQekqB04dI_,,,,56' - 10",,,,New Construction,None,,,,,3,,Non-bearing,6.2102 BTU/(ft²·°F),36.6193 (h·ft²·°F)/BTU,Up to level: L5,0' - 0",,Exterior - 12 5/8" Rainscreen w Insultation on Metal Stud (Alley),,,2Nacuo19H4IAx5s3kv9CGb,,X05,45' - 6",,2357.94 CF,1' - 0 5/8",
0.7,,546 SF,A1010200,Foundation Walls,,Parking,-0' - 6",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Foundation - 24" Concrete,,4 HR,Foundation,0.3022 BTU/(h·ft²·°F),,1G_I00WlX2MBQekqB04dJ5,,,,47' - 2 1/2",,,,New Construction,None,,,,,3,Concrete, Cast-in-Place gray,Non-bearing,45.0630 BTU/(ft²·°F),3.3092 (h·ft²·°F)/BTU,Up to level: L1 - Block 35,0' - 0",,Foundation - 24" Concrete,,,2Rqwfi9uL0W9XTWzRAs_6e,,C04,11' - 6",,1091.54 CF,2' - 0",
0.7,,114 SF,A1010200,Foundation Walls,,Parking,-0' - 6",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Foundation - 24" Concrete,,4 HR,Foundation,0.3022 BTU/(h·ft²·°F),,1G_I00WlX2MBQekqB04dJ6,,,,10' - 4 1/2",,,,New Construction,None,,,,,3,Concrete, Cast-in-Place gray,Non-bearing,45.0630 BTU/(ft²·°F),3.3092 (h·ft²·°F)/BTU,Up to level: L1 - Block 35,0' - 0",,Foundation - 24" Concrete,,,2Rqwfi9uL0W9XTWzRAs_6e,,C04,11' - 6",,227.13 CF,2' - 0",
0.7,,1234 SF,A1010200,Foundation Walls,,Parking,-0' - 6",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Foundation - 24" Concrete,,4 HR,Foundation,0.3022 BTU/(h·ft²·°F),,1G_I00WlX2MBQekqB04dJ7,,,,68' - 11 3/8",,,,New Construction,None,,,,,3,Concrete, Cast-in-Place gray,Non-bearing,45.0630 BTU/(ft²·°F),3.3092 (h·ft²·°F)/BTU,Up to level: L1 - Block 43,0' - 0",,Foundation - 24" Concrete,,,2Rqwfi9uL0W9XTWzRAs_6e,,C04,17' - 5",,2426.11 CF,2' - 0",
0.7,,460 SF,A1010200,Foundation Walls,,Parking,-0' - 6",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Foundation - 24" Concrete,,4 HR,Foundation,0.3022 BTU/(h·ft²·°F),,1G_I00WlX2MBQekqB04dQj,,,,60' - 9",,,,New Construction,None,,,,,3,Concrete, Cast-in-Place gray,Non-bearing,45.0630 BTU/(ft²·°F),3.3092 (h·ft²·°F)/BTU,Up to level: L1 - Block 35,0' - 0",,Foundation - 24" Concrete,,,2Rqwfi9uL0W9XTWzRAs_6e,,C04,11' - 6",,878.83 CF,2' - 0",
0.7,,59 SF,A1010200,Foundation Walls,,Parking,-0' - 6",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Foundation - 24" Concrete,,4 HR,Foundation,0.3022 BTU/(h·ft²·°F),,1G_I00WlX2MBQekqB04dQk,,,,2' - 3 3/32",,,,New Construction,None,,,,,3,Concrete, Cast-in-Place gray,Non-bearing,45.0630 BTU/(ft²·°F),3.3092 (h·ft²·°F)/BTU,Up to level: L1 - Block 37,0' - 0",,Foundation - 24" Concrete,,,2Rqwfi9uL0W9XTWzRAs_6e,,C04,13' - 11 1/2",,118.88 CF,2' - 0",
0.7,,305 SF,A1010200,Foundation Walls,,Parking,-0' - 6",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Foundation - 24" Concrete,,4 HR,Foundation,0.3022 BTU/(h·ft²·°F),,1G_I00WlX2MBQekqB04dQl,,,,22' - 10",,,,New Construction,None,,,,,3,Concrete, Cast-in-Place gray,Non-bearing,45.0630 BTU/(ft²·°F),3.3092 (h·ft²·°F)/BTU,Up to level: L1 - Block 37,0' - 0",,Foundation - 24" Concrete,,,2Rqwfi9uL0W9XTWzRAs_6e,,C04,13' - 11 1/2",,609.51 CF,2' - 0",
