Window Schedule 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly Code,Assembly Description,Assembly Name,Classification Number,Classification Title,Comments,Construction Type,Cost,Count,Description,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Family,Family and Type,Family Thumbnail,Finish,Glazing Thickness,Glazing Type,Head,Head Height,Heat Transfer Coefficient (U),Height,IFC Predefined Type,IfcGUID,Image,Jamb,Keynote,Level,Manufacturer,Mark,Material,Model,Operation,Phase Created,Phase Demolished,Rough Height,Rough Width,Sill,Sill Height,Solar Heat Gain Coefficient,Thermal Resistance (R),Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,URL,Visual Light Transmittance,Width
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,8' - 0",,5' - 0",,3kc6SqM9H57QHDXaSHOxCT,,,,L4,,87,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,3' - 0",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,8' - 0",,5' - 0",,3kc6SqM9H57QHDXaSHOxBT,,,,L4,,88,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,3' - 0",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,8' - 0",,5' - 0",,3kc6SqM9H57QHDXaSHOx7n,,,,L4,,91,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,3' - 0",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,8' - 0",,5' - 0",,3kc6SqM9H57QHDXaSHOx6n,,,,L4,,92,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,3' - 0",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,8' - 0",,5' - 0",,3kc6SqM9H57QHDXaSHOx6R,,,,L4,,93,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,3' - 0",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,8' - 0",,5' - 0",,3kc6SqM9H57QHDXaSHOx5L,,,,L4,,94,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,3' - 0",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,8' - 0",,5' - 0",,2gDGg7MA90nQHvffsvVo3w,,,,L5,,99,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,3' - 0",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,8' - 0",,5' - 0",,2gDGg7MA90nQHvffsvVo3q,,,,L5,,101,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,3' - 0",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,8' - 0",,5' - 0",,2gDGg7MA90nQHvffsvVo2F,,,,L5,,102,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,3' - 0",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,8' - 0",,5' - 0",,2gDGg7MA90nQHvffsvVo2P,,,,L5,,104,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,3' - 0",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
